País,WMO,ICAO,Estação,Latitude,Longitude,Altitude
BZ,82861,SBAA,CONCEICAO DO ARAGUAIA,-8.35,-49.3,157
BZ,83748,SBAF,AFONSOS(AEROPORTO),22.87,-43.37,34
BZ,82030,SBAM,AMAPA,2.07,-50.85,10
BZ,83419,SBAN,ANAPOLIS (AEROPORTO),16.22,-48.97,1137
BZ,-,SBAQ,ARARAQUARA-S,21.8,-48.13,708
BZ,83095,SBAR,ARACAJU (AEROPORTO),10.97,-37.07,9
BZ,-,SBAS,ASSIS - S,22.63,-50.45,564
BZ,82965,SBAT,ALTA FLORESTA (AEROPORTO),-9.87,-56.1,288
BZ,83672,SBAU,ARACATUBA,21.13,-50.43,397
BZ,-,SBAX,ARAXA-M,19.57,-46.97,999
BZ,82816,SBBA,BOCADOACRE,-8.72,-67.32,112
BZ,82410,SBBC,BENJAMIN CONSTANT,-4.37,-70.02,65
BZ,82193,SBBE,BELEM (AEROPORTO),-1.37,-48.47,16
BZ,83981,SBBG,BAGE (AEROPORTO),31.38,-54.12,180
BZ,83583,SBBH,BELO HORIZONTE (AEROP. PAMPULHA),19.85,-43.95,785
BZ,83842,SBBI,CURITIBA,25.4,-49.23,924
BZ,83689,SBBQ,BARBACENA,21.25,-43.77,1171
BZ,83378,SBBR,BRASILIA (AEROPORTO),15.87,-47.92,1061
BZ,83625,SBBT,BARRETOS,20.58,-48.6,541
BZ,83722,SBBU,BAURU (AEROPORTO),22.32,-49.07,615
BZ,82022,SBBV,BOA VISTA (AEROPORTO),2.85,-60.7,140
BZ,83359,SBBW,BARRA DO GARCAS,15.87,-52.37,350
BZ,-,SBBZ,BUZIOS-RJ (AER. UMBERTO MODIANO,-22.75,-41.95,3
BZ,-,SBCA,CASCAVEL-PR,25,-53.5,754
BZ,-,SBCB,CABO FRIO,22.92,-42.08,4
BZ,82930,SBCC,CACHIMBO (AEROPORTO),-9.35,-54.88,537
BZ,-,SBCD,CACADOR,26.78,-50.93,1029
BZ,83566,SBCF,CONFIS (AEROPORTO),19.63,-43.97,828
BZ,83612,SBCG,CAMPO GRANDE (AEROPORTO),20.47,-54.67,567
BZ,83883,SBCH,CHAPECO,27.13,-52.67,679
BZ,82764,SBCI,CAROLINA (AEROPORTO),-7.32,-47.47,183
BZ,82567,SBCJ,CARAJAS (AEROPORTO),-6.12,-50,621
BZ,83912,SBCL,CRUZ ALTA,-28.63,-53.6,464
BZ,-,SBCM,FORQUILHINHA,28.72,-49.42,28
BZ,-,SBCN,CRICIUMA-SC (AER. FORQUILINHA,-28.72,-49.42,28
BZ,83952,SBCO,CANOAS,29.95,-51.15,9
BZ,83698,SBCP,CAMPOS,21.7,-41.3,11
BZ,83552,SBCR,CORUMBA,19,-57.67,130
BZ,83840,SBCT,CURITIBA (AEROPORTO),25.52,-49.17,908
BZ,83497,SBCV,CARAVELAS (AEROPORTO),17.62,-39.25,4
BZ,-,SBCX,CAXIAS DO SUL - AER. CAMPO DOS B,29.2,-51.18,754
BZ,83362,SBCY,CUIABA (AEROPORTO),15.65,-56.12,187
BZ,82705,SBCZ,CRUZEIRO DO SUL (AEROPORTO,-7.62,-72.77,199
BZ,83716,SBDN,PRESIDENTE PRUDENTE,22.18,-51.43,436
BZ,-,SBEC,PIRANA P15 OIL,22.67,-40.6,10
BZ,82333,SBEG,MANAUS (AEROPORTO EDUARDO GOMES),-3.02,-60.03,85
